timestamp,ECG_I,ECG_II,ECG_III,AccX,AccY,AccZ,AccMag
5186.0,1.753401,1.725208,-0.028193,0.4707,0.7453,10.3558,10.39324897325182
5196.0,1.771835,1.753401,-0.018434,0.4707,0.7453,10.395,10.432308257523834
5206.0,1.75557,1.733883,-0.021687,0.5099,0.7845,10.3166,10.358941732628868
5216.0,1.774004,1.749064,-0.02494,0.4707,0.7845,10.3166,10.357086187726738
5226.0,1.78051,1.751232,-0.029278,0.5099,0.8238,10.3166,10.361992086949304
5236.0,1.766413,1.741473,-0.02494,0.4707,0.8238,10.3166,10.360137088378705
5246.0,1.78051,1.771835,-0.008675,0.5099,0.8238,10.3558,10.401021011900706
5256.0,1.766413,1.753401,-0.013012,0.5099,0.7845,10.3166,10.358941732628868
5266.0,1.776173,1.760992,-0.015181,0.4707,0.7453,10.3166,10.354190752540731
5276.0,1.781594,1.776173,-0.005422,0.5099,0.7453,10.3558,10.395098063029517
5286.0,1.771835,1.753401,-0.018434,0.4707,0.7061,10.3558,10.390511505214747
5296.0,1.790269,1.781594,-0.008675,0.4707,0.7453,10.3166,10.354190752540731
5306.0,1.778341,1.765329,-0.013012,0.4315,0.7453,10.3166,10.35248278916705
5316.0,1.784847,1.777257,-0.00759,0.5099,0.7845,10.3558,10.397982107120592
5326.0,1.7881,1.781594,-0.006506,0.4707,0.7061,10.3166,10.351442955453118
5336.0,1.781594,1.767498,-0.014097,0.4707,0.7061,10.3558,10.390511505214747
5346.0,1.802197,1.790269,-0.011928,0.4707,0.7453,10.3558,10.39324897325182
5356.0,1.785932,1.776173,-0.009759,0.4707,0.7453,10.3166,10.354190752540731
5366.0,1.798944,1.784847,-0.014097,0.4707,0.8238,10.3166,10.360137088378705
5376.0,1.802197,1.794607,-0.00759,0.4707,0.7845,10.3558,10.396133530308276
5386.0,1.789185,1.777257,-0.011928,0.4707,0.863,10.3558,10.402351711512162
5396.0,1.806534,1.800028,-0.006506,0.5492,0.7453,10.2774,10.319013687848273
5406.0,1.793522,1.784847,-0.008675,0.5099,0.8238,10.3166,10.361992086949304
5416.0,1.800028,1.802197,0.002169,0.4707,0.7845,10.3558,10.396133530308276
5426.0,1.80545,1.806534,0.001084,0.4707,0.7845,10.2774,10.318040002829996
5436.0,1.795691,1.794607,-0.001084,0.4707,0.7061,10.3166,10.351442955453118
5446.0,1.809787,1.821715,0.011928,0.4707,0.7453,10.2774,10.315133607472083
5456.0,1.790269,1.801113,0.010844,0.4707,0.7845,10.3166,10.357086187726738
5466.0,1.802197,1.809787,0.00759,0.4707,0.7453,10.3558,10.39324897325182
5476.0,1.808703,1.813041,0.004337,0.4707,0.7453,10.395,10.432308257523834
5486.0,1.796775,1.798944,0.002169,0.4707,0.7453,10.3558,10.39324897325182
5496.0,1.813041,1.8228,0.009759,0.5099,0.7453,10.3558,10.395098063029517
5506.0,1.802197,1.804366,0.002169,0.4707,0.7453,10.3166,10.354190752540731
5516.0,1.802197,1.810872,0.008675,0.4707,0.7453,10.2774,10.315133607472083
5526.0,1.807619,1.819547,0.011928,0.5099,0.7845,10.3166,10.358941732628868
5536.0,1.818462,1.824968,0.006506,0.5492,0.7845,10.2774,10.321918990672229
5546.0,1.87268,1.905211,0.032531,0.5099,0.8238,10.3558,10.401021011900706
5556.0,1.895451,1.938826,0.043374,0.4707,0.7845,10.3166,10.357086187726738
5566.0,1.924729,1.980031,0.055302,0.5099,0.7845,10.2774,10.31990256833852
